


         Node(  1)          Node(  2)          Node(

 time    Theta               Theta            
     1.0000     0.2489     0.2506
     2.0000     0.2481     0.2551
     3.0000     0.2474     0.2651
     4.0000     0.2484     0.2750
     5.0000     0.2501     0.2826
     6.0000     0.2527     0.2879
     7.0000     0.2565     0.2913
     8.0000     0.2611     0.2935
     9.0000     0.2654     0.2949
    10.0000     0.2699     0.2959
    11.0000     0.2738     0.2966
    12.0000     0.2773     0.2972
    13.0000     0.2798     0.2977
    14.0000     0.2822     0.2981
    15.0000     0.2844     0.2985
    16.0000     0.2864     0.2989
    17.0000     0.3133     0.3151
    18.0000     0.3145     0.3192
    19.0000     0.3088     0.3162
    20.0000     0.3068     0.3150
    21.0000     0.3055     0.3141
    22.0000     0.3044     0.3134
    23.0000     0.3003     0.3118
    24.0000     0.2990     0.3106
    25.0000     0.2990     0.3100
    26.0000     0.2997     0.3096
    27.0000     0.3210     0.3345
    28.0000     0.3101     0.3289
    29.0000     0.3098     0.3275
    30.0000     0.3082     0.3266
    31.0000     0.3078     0.3257
    32.0000     0.3072     0.3246
    33.0000     0.3058     0.3232
    34.0000     0.3040     0.3216
    35.0000     0.3040     0.3204
    36.0000     0.3031     0.3191
    37.0000     0.3175     0.3329
    38.0000     0.3115     0.3291
    39.0000     0.3081     0.3273
    40.0000     0.3073     0.3263
    41.0000     0.3065     0.3253
    42.0000     0.3064     0.3243
    43.0000     0.3046     0.3229
    44.0000     0.3042     0.3215
    45.0000     0.3044     0.3205
    46.0000     0.3009     0.3187
    47.0000     0.2991     0.3170
    48.0000     0.2946     0.3150
    49.0000     0.2948     0.3137
    50.0000     0.2935     0.3124
    51.0000     0.2896     0.3107
    52.0000     0.2835     0.3088
    53.0000     0.2816     0.3073
    54.0000     0.2782     0.3059
    55.0000     0.2738     0.3044
    56.0000     0.2732     0.3032
    57.0000     0.2724     0.3021
    58.0000     0.2704     0.3010
    59.0000     0.2705     0.3000
    60.0000     0.2640     0.2987
    61.0000     0.2612     0.2973
    62.0000     0.2702     0.2969
    63.0000     0.2644     0.2959
    64.0000     0.2892     0.3004
    65.0000     0.2774     0.2987
    66.0000     0.2649     0.2958
    67.0000     0.2560     0.2939
    68.0000     0.2423     0.2890
    69.0000     0.2333     0.2881
    70.0000     0.2297     0.2874
    71.0000     0.2275     0.2866
    72.0000     0.3018     0.3081
    73.0000     0.2890     0.3029
    74.0000     0.2737     0.2977
    75.0000     0.2576     0.2914
    76.0000     0.2492     0.2900
    77.0000     0.2408     0.2885
    78.0000     0.2348     0.2872
    79.0000     0.2314     0.2859
    80.0000     0.2307     0.2848
    81.0000     0.2986     0.3110
    82.0000     0.2814     0.3026
    83.0000     0.2678     0.2986
    84.0000     0.2544     0.2948
    85.0000     0.2447     0.2929
    86.0000     0.2335     0.2901
    87.0000     0.2262     0.2894
    88.0000     0.2252     0.2886
    89.0000     0.2254     0.2878
    90.0000     0.2261     0.2869
    91.0000     0.2271     0.2860
    92.0000     0.2282     0.2850
    93.0000     0.2295     0.2841
    94.0000     0.2308     0.2831
    95.0000     0.2321     0.2821
    96.0000     0.2332     0.2811
    97.0000     0.2343     0.2801
    98.0000     0.2955     0.3070
    99.0000     0.2779     0.2992
   100.0000     0.2628     0.2944
   101.0000     0.2453     0.2853
   102.0000     0.2362     0.2853
   103.0000     0.2344     0.2849
   104.0000     0.2898     0.3005
   105.0000     0.2681     0.2903
   106.0000     0.2816     0.2887
   107.0000     0.2577     0.2765
   108.0000     0.2498     0.2780
   109.0000     0.2950     0.3092
   110.0000     0.2757     0.3001
   111.0000     0.2580     0.2934
   112.0000     0.2423     0.2881
   113.0000     0.2299     0.2867
   114.0000     0.2273     0.2878
   115.0000     0.2269     0.2881
   116.0000     0.2865     0.2967
   117.0000     0.2909     0.3127
   118.0000     0.2697     0.3033
   119.0000     0.2488     0.2897
   120.0000     0.2545     0.2789
   121.0000     0.2955     0.3208
   122.0000     0.2726     0.3044
   123.0000     0.2544     0.2991
   124.0000     0.2697     0.2921
   125.0000     0.2494     0.2860
   126.0000     0.2337     0.2848
   127.0000     0.2285     0.2890
   128.0000     0.2265     0.2913
   129.0000     0.2260     0.2923
   130.0000     0.2266     0.2925
   131.0000     0.2370     0.2874
   132.0000     0.2873     0.2977
   133.0000     0.2634     0.2853
   134.0000     0.2454     0.2818
   135.0000     0.2411     0.2845
   136.0000     0.2766     0.2846
   137.0000     0.2783     0.2819
   138.0000     0.2574     0.2788
   139.0000     0.2914     0.3040
   140.0000     0.2695     0.2934
   141.0000     0.2490     0.2824
   142.0000     0.2697     0.2723
   143.0000     0.2552     0.2767
   144.0000     0.2726     0.2671
   145.0000     0.2663     0.2721
   146.0000     0.2914     0.3050
   147.0000     0.2664     0.2881
   148.0000     0.2704     0.2741
   149.0000     0.2511     0.2747
   150.0000     0.2454     0.2788
   151.0000     0.2427     0.2814
   152.0000     0.2418     0.2829
   153.0000     0.2417     0.2836
   154.0000     0.2422     0.2839
   155.0000     0.2431     0.2838
   156.0000     0.2530     0.2782
   157.0000     0.2774     0.2732
   158.0000     0.2698     0.2753
   159.0000     0.2670     0.2765
   160.0000     0.2772     0.2706
   161.0000     0.2734     0.2731
   162.0000     0.2705     0.2746
   163.0000     0.2683     0.2754
   164.0000     0.2666     0.2757
   165.0000     0.2786     0.2728
   166.0000     0.2745     0.2737
   167.0000     0.2722     0.2741
   168.0000     0.2911     0.3128
   169.0000     0.2684     0.2996
   170.0000     0.2871     0.3052
   171.0000     0.2679     0.2942
   172.0000     0.2466     0.2833
   173.0000     0.2317     0.2839
   174.0000     0.2269     0.2883
   175.0000     0.2256     0.2907
   176.0000     0.2259     0.2917
   177.0000     0.2273     0.2918
   178.0000     0.2291     0.2915
   179.0000     0.2314     0.2910
   180.0000     0.2336     0.2903
   181.0000     0.2361     0.2895
   182.0000     0.2384     0.2887
   183.0000     0.2435     0.2880
   184.0000     0.2455     0.2873
   185.0000     0.2475     0.2867
   186.0000     0.2729     0.2756
   187.0000     0.2649     0.2783
   188.0000     0.2635     0.2799
   189.0000     0.2629     0.2807
   190.0000     0.2627     0.2812
   191.0000     0.2879     0.2968
   192.0000     0.2813     0.2882
   193.0000     0.2871     0.3007
   194.0000     0.2966     0.3264
   195.0000     0.2745     0.3103
   196.0000     0.2683     0.2956
   197.0000     0.2446     0.2800
   198.0000     0.2277     0.2798
   199.0000     0.2406     0.2713
   200.0000     0.2323     0.2792
   201.0000     0.2276     0.2845
   202.0000     0.2253     0.2879
   203.0000     0.2240     0.2899
   204.0000     0.2239     0.2909
   205.0000     0.2244     0.2912
   206.0000     0.2549     0.2763
   207.0000     0.2486     0.2797
   208.0000     0.2466     0.2821
