    51.0000     0.3018     0.3320     0.1158     0.0738     0.3227     0.3565     0.1383     0.1182     0.4084     0.4091
    52.0000     0.2981     0.3299     0.1134     0.0735     0.3225     0.3562     0.1381     0.1188     0.4090     0.4097
    53.0000     0.2964     0.3280     0.1110     0.0731     0.3223     0.3559     0.1380     0.1194     0.4096     0.4102
    54.0000     0.2937     0.3263     0.1086     0.0728     0.3220     0.3557     0.1378     0.1199     0.4101     0.4107
    55.0000     0.2903     0.3245     0.1062     0.0725     0.3218     0.3554     0.1376     0.1205     0.4106     0.4112
    56.0000     0.2888     0.3229     0.1039     0.0722     0.3216     0.3550     0.1373     0.1211     0.4111     0.4117
    57.0000     0.2874     0.3215     0.1016     0.0719     0.3213     0.3547     0.1371     0.1216     0.4116     0.4122
    58.0000     0.2851     0.3200     0.0993     0.0716     0.3211     0.3543     0.1369     0.1221     0.4121     0.4126
    59.0000     0.2841     0.3187     0.0971     0.0713     0.3209     0.3540     0.1366     0.1226     0.4126     0.4131
    60.0000     0.2792     0.3173     0.0950     0.0711     0.3206     0.3536     0.1364     0.1231     0.4131     0.4135
    61.0000     0.2763     0.3160     0.0929     0.0709     0.3204     0.3533     0.1361     0.1236     0.4135     0.4139
    62.0000     0.2798     0.3149     0.0908     0.0707     0.3202     0.3529     0.1358     0.1241     0.4139     0.4144
    63.0000     0.2756     0.3137     0.0888     0.0705     0.3200     0.3525     0.1356     0.1246     0.4144     0.4148
    64.0000     0.2908     0.3133     0.0869     0.0703     0.3198     0.3521     0.1353     0.1250     0.4148     0.4151
    65.0000     0.2839     0.3123     0.0852     0.0701     0.3196     0.3518     0.1350     0.1254     0.4152     0.4155
    66.0000     0.2755     0.3110     0.0836     0.0700     0.3194     0.3514     0.1347     0.1258     0.4155     0.4159
    67.0000     0.2688     0.3098     0.0819     0.0698     0.3192     0.3510     0.1344     0.1262     0.4159     0.4162
    68.0000     0.2569     0.3085     0.0802     0.0697     0.3190     0.3507     0.1341     0.1266     0.4162     0.4166
    69.0000     0.2492     0.3073     0.0786     0.0696     0.3188     0.3503     0.1339     0.1270     0.4166     0.4169
    70.0000     0.2450     0.3061     0.0769     0.0694     0.3186     0.3500     0.1336     0.1274     0.4169     0.4172
    71.0000     0.2416     0.3050     0.0753     0.0693     0.3185     0.3496     0.1333     0.1277     0.4172     0.4175
    72.0000     0.2968     0.3058     0.0739     0.0692     0.3183     0.3493     0.1330     0.1280     0.4175     0.4178
    73.0000     0.2892     0.3054     0.0729     0.0691     0.3181     0.3490     0.1328     0.1284     0.4178     0.4181
    74.0000     0.2787     0.3043     0.0720     0.0690     0.3180     0.3486     0.1325     0.1287     0.4181     0.4184
    75.0000     0.2657     0.3030     0.0710     0.0690     0.3178     0.3483     0.1322     0.1290     0.4183     0.4186
    76.0000     0.2589     0.3017     0.0701     0.0689     0.3177     0.3480     0.1320     0.1293     0.4186     0.4189
    77.0000     0.2516     0.3003     0.0691     0.0688     0.3176     0.3477     0.1317     0.1295     0.4188     0.4191
    78.0000     0.2456     0.2989     0.0683     0.0688     0.3174     0.3474     0.1315     0.1298     0.4191     0.4193
    79.0000     0.2411     0.2975     0.0676     0.0687     0.3173     0.3471     0.1312     0.1301     0.4193     0.4196
    80.0000     0.2385     0.2961     0.0670     0.0686     0.3172     0.3469     0.1310     0.1303     0.4195     0.4198
    81.0000     0.3043     0.3066     0.0678     0.0686     0.3171     0.3466     0.1307     0.1306     0.4197     0.4200
    82.0000     0.2916     0.3052     0.0683     0.0686     0.3170     0.3464     0.1305     0.1308     0.4199     0.4202
    83.0000     0.2810     0.3035     0.0683     0.0685     0.3169     0.3461     0.1303     0.1310     0.4201     0.4204
    84.0000     0.2697     0.3017     0.0679     0.0685     0.3168     0.3459     0.1301     0.1312     0.4203     0.4205
    85.0000     0.2608     0.3001     0.0675     0.0685     0.3167     0.3457     0.1299     0.1314     0.4204     0.4207
    86.0000     0.2498     0.2984     0.0670     0.0685     0.3166     0.3454     0.1297     0.1316     0.4206     0.4209
    87.0000     0.2420     0.2968     0.0665     0.0684     0.3165     0.3452     0.1295     0.1318     0.4208     0.4210
    88.0000     0.2385     0.2952     0.0661     0.0684     0.3164     0.3450     0.1293     0.1320     0.4209     0.4212
    89.0000     0.2358     0.2937     0.0658     0.0684     0.3164     0.3448     0.1291     0.1322     0.4211     0.4213
    90.0000     0.2336     0.2923     0.0654     0.0683     0.3163     0.3446     0.1289     0.1323     0.4212     0.4215
    91.0000     0.2317     0.2908     0.0651     0.0683     0.3162     0.3445     0.1288     0.1325     0.4213     0.4216
    92.0000     0.2299     0.2893     0.0650     0.0683     0.3161     0.3443     0.1286     0.1326     0.4215     0.4217
    93.0000     0.2283     0.2878     0.0650     0.0683     0.3161     0.3441     0.1284     0.1328     0.4216     0.4218
    94.0000     0.2269     0.2863     0.0650     0.0683     0.3160     0.3440     0.1283     0.1329     0.4217     0.4220
    95.0000     0.2255     0.2849     0.0650     0.0682     0.3160     0.3438     0.1281     0.1330     0.4218     0.4221
    96.0000     0.2242     0.2835     0.0650     0.0682     0.3159     0.3437     0.1280     0.1332     0.4219     0.4222
    97.0000     0.2229     0.2822     0.0650     0.0682     0.3158     0.3435     0.1278     0.1333     0.4220     0.4223
    98.0000     0.2890     0.2832     0.0650     0.0682     0.3158     0.3434     0.1277     0.1334     0.4221     0.4224
    99.0000     0.2754     0.2829     0.0650     0.0682     0.3157     0.3432     0.1276     0.1335     0.4222     0.4225
   100.0000     0.2627     0.2821     0.0650     0.0682     0.3157     0.3431     0.1275     0.1336     0.4223     0.4226
   101.0000     0.2450     0.2810     0.0650     0.0682     0.3156     0.3430     0.1273     0.1337     0.4224     0.4226
   102.0000     0.2364     0.2798     0.0650     0.0682     0.3156     0.3429     0.1272     0.1338     0.4225     0.4227
   103.0000     0.2324     0.2787     0.0650     0.0682     0.3156     0.3428     0.1271     0.1339     0.4226     0.4228
   104.0000     0.2758     0.2786     0.0650     0.0681     0.3155     0.3427     0.1270     0.1340     0.4226     0.4229
   105.0000     0.2573     0.2779     0.0650     0.0681     0.3155     0.3426     0.1269     0.1341     0.4227     0.4229
   106.0000     0.2621     0.2768     0.0650     0.0681     0.3154     0.3425     0.1268     0.1342     0.4228     0.4230
   107.0000     0.2404     0.2742     0.0650     0.0681     0.3154     0.3424     0.1267     0.1343     0.4229     0.4231
   108.0000     0.2343     0.2734     0.0650     0.0681     0.3154     0.3423     0.1266     0.1343     0.4229     0.4231
   109.0000     0.3000     0.2897     0.0650     0.0681     0.3153     0.3422     0.1265     0.1344     0.4230     0.4232
   110.0000     0.2834     0.2894     0.0650     0.0681     0.3153     0.3421     0.1264     0.1345     0.4230     0.4233
